BurstID,ObsDate,MJD,DM,Width,PeakFlux,Fluence,Energy_c,Energy_w,BandWidth,Width,PeakFlux,Fluence,Energy_w
 , ,Barycentric, ,FullBand,FullBand,FullBand,FullBand,FullBand, ,LimitedBand,LimitedBand,LimitedBand,LimitedBand
 , , ,(pc/cm^3),(ms),(mJy),(Jy ms),(1e37erg),(1e37erg),(MHz),(ms),(mJy),(Jy ms),(1e37erg)
212,20210928,59484.83416,411.51,5.23,77.32,0.404,11.31,4.523,500,4.75,77.31,0.367,4.512
213,20210928,59484.83476,411.51,7.98,114.72,0.916,25.64,10.26,300,7.25,215.51,1.562,11.52
214,20210928,59484.83489,411.51,14.78,166.52,2.462,68.91,27.56,400,7.64,352.41,2.694,26.49
215,20210928,59484.83525,411.51,10.68,211.82,2.263,63.34,25.34,500,5.47,387.41,2.117,26.03
216,20210928,59484.83525,411.51,3.95,29.6,0.117,3.275,1.31,200,3.56,81.94,0.291,1.433
217,20210928,59484.83536,411.51,4.42,680.57,3.008,84.2,33.68,450,4.02,721.88,2.9,32.08
218,20210928,59484.83562,411.51,3.75,6.66,0.025,0.6998,0.2799,50,2.49,44.32,0.11,0.1355
219,20210928,59484.83562,411.51,6.69,18.98,0.127,3.555,1.422,100,6.54,84.14,0.55,1.352
220,20210928,59484.83562,411.51,8.13,33.93,0.276,7.725,3.09,150,7.7,106.23,0.818,3.016
221,20210928,59484.83594,411.51,4.13,124.38,0.514,14.39,5.755,500,3.57,124.59,0.445,5.468
222,20210928,59484.83594,411.51,5.52,71.56,0.395,11.06,4.422,300,4.64,143.93,0.668,4.925
223,20210928,59484.83603,411.51,3.11,10.62,0.033,0.9237,0.3695,150,2.8,26.01,0.073,0.2687
224,20210928,59484.8362,411.51,7.09,189.71,1.345,37.65,15.06,400,6.46,242.76,1.567,15.41
225,20210928,59484.83629,411.51,5.22,43.49,0.227,6.354,2.542,300,4.52,87.33,0.394,2.909
226,20210928,59484.83633,411.51,8.27,50.54,0.418,11.7,4.68,300,8.01,75.95,0.609,4.488
227,20210928,59484.83634,411.51,4.39,30.78,0.135,3.779,1.511,200,4.18,75.44,0.315,1.55
228,20210928,59484.83652,411.51,10.83,10.71,0.116,3.247,1.299,200,7.57,33.45,0.253,1.245
229,20210928,59484.83653,411.51,8.89,197.66,1.757,49.18,19.67,250,8.06,468.96,3.779,23.23
230,20210928,59484.83665,411.51,2.46,8.95,0.022,0.6158,0.2463,200,3.55,20.26,0.072,0.3538
231,20210928,59484.83682,411.51,11.52,67.71,0.78,21.83,8.733,250,10.29,144.84,1.491,9.164
232,20210928,59484.83691,411.51,7.32,52.6,0.385,10.78,4.31,450,6.77,56.73,0.384,4.252
233,20210928,59484.83697,411.51,3.4,19.39,0.066,1.847,0.7389,150,3.7,47.24,0.175,0.6449
234,20210928,59484.83706,411.51,5.16,30.02,0.155,4.338,1.735,150,4.82,92.2,0.444,1.639
235,20210928,59484.83706,411.51,6.51,33.31,0.217,6.074,2.43,200,6.57,77.79,0.511,2.512
236,20210928,59484.83729,411.51,6.76,276.35,1.868,52.29,20.91,350,6.23,444.45,2.769,23.82
237,20210928,59484.83754,411.51,7.05,14.19,0.1,2.799,1.12,200,6.78,34.11,0.231,1.138
238,20210928,59484.8388,411.51,3.78,198.79,0.751,21.02,8.408,450,3.37,218.25,0.736,8.142
239,20210928,59484.83883,411.51,2.03,6.39,0.013,0.3639,0.1456,100,1.7,29.98,0.051,0.1254
240,20210928,59484.83883,411.51,2.78,7.2,0.02,0.5598,0.2239,100,4.9,34.94,0.171,0.421
241,20210928,59484.83883,411.51,2.56,14.83,0.038,1.064,0.4254,200,2.42,36.14,0.087,0.4299
242,20210928,59484.83883,411.51,8.47,126.3,1.07,29.95,11.98,300,6.24,272.49,1.7,12.54
243,20210928,59484.83915,411.51,2.55,40.41,0.103,2.883,1.153,200,2.36,92.02,0.217,1.066
244,20210928,59484.83926,411.51,4.06,10.84,0.044,1.232,0.4926,100,4.86,37.12,0.18,0.4434
245,20210928,59484.83927,411.51,2.6,9.22,0.024,0.6718,0.2687,200,3.41,17.88,0.061,0.3
246,20210928,59484.83955,411.51,8.28,312.52,2.588,72.44,28.98,500,7.51,312.39,2.347,28.85
247,20210928,59484.8399,411.51,5.8,60,0.348,9.741,3.896,350,5.47,83.1,0.454,3.911
248,20210928,59484.84035,411.51,3.53,37.93,0.134,3.751,1.5,200,3.32,101.26,0.336,1.652
249,20210928,59484.8407,411.51,4.25,72.98,0.31,8.677,3.471,300,4.28,112.27,0.481,3.547
250,20210928,59484.84074,411.51,3.36,12.21,0.041,1.148,0.459,150,2.55,31.39,0.08,0.2956
251,20210928,59484.84074,411.51,4.1,12.67,0.052,1.456,0.5822,250,3.79,24.76,0.094,0.5766
252,20210928,59484.84074,411.51,2.4,19.6,0.047,1.316,0.5262,200,2.16,50.27,0.108,0.5329
253,20210928,59484.84076,411.51,4.95,111.39,0.551,15.42,6.169,200,4.49,279.2,1.253,6.162
254,20210928,59484.84085,411.51,5.08,21.67,0.11,3.079,1.232,400,4.51,25.86,0.117,1.146
255,20210928,59484.841,411.51,7.47,124.83,0.933,26.12,10.45,200,6.49,324.44,2.106,10.35
256,20210928,59484.84128,411.51,5.41,22.75,0.123,3.443,1.377,100,5.98,90.35,0.54,1.328
257,20210928,59484.84168,411.51,6.03,94.84,0.572,16.01,6.404,250,4.63,235.81,1.092,6.712
258,20210928,59484.84168,411.51,10.69,131.58,1.407,39.38,15.75,200,9.75,352.2,3.433,16.88
259,20210928,59484.8417,411.51,6.63,12.21,0.081,2.267,0.9069,350,4.46,19.19,0.086,0.7367
260,20210928,59484.84173,411.51,3.2,98,0.314,8.789,3.516,400,2.87,117.25,0.336,3.305
261,20210928,59484.8418,411.51,6.19,53.12,0.329,9.209,3.684,450,5.58,56.96,0.318,3.517
262,20210928,59484.84199,411.51,8.66,235.75,2.041,57.13,22.85,350,5.99,443.85,2.658,22.88
263,20210928,59484.842,411.51,4.65,13.75,0.064,1.791,0.7166,200,3.95,33.68,0.133,0.6538
264,20210928,59484.84205,411.51,7.22,104.43,0.754,21.1,8.442,300,4.5,269.57,1.214,8.957
265,20210928,59484.84211,411.51,13.08,493.7,6.456,180.7,72.28,350,12.38,623.84,7.721,66.44
266,20210928,59484.84211,411.51,7.86,411.74,3.237,90.6,36.24,350,6.51,696.73,4.534,39.02
267,20210928,59484.84232,411.51,3.83,13.07,0.05,1.4,0.5598,100,3.05,60.7,0.185,0.4546
268,20210928,59484.84234,411.51,2.97,32.28,0.096,2.687,1.075,200,3.55,73.15,0.26,1.276
269,20210928,59484.84234,411.51,3.09,12.64,0.039,1.092,0.4366,100,4.9,44.99,0.22,0.5419
270,20210928,59484.84235,411.51,3.16,8.23,0.026,0.7278,0.2911,200,3.43,16.46,0.056,0.2777
271,20210928,59484.84263,411.51,3.31,62.46,0.207,5.794,2.318,300,3,121.92,0.366,2.7
272,20210928,59484.84289,411.51,11.19,520.14,5.823,163,65.2,300,7.62,1148.55,8.755,64.57
273,20210928,59484.84309,411.51,4.69,17.89,0.084,2.351,0.9405,300,3.94,26.35,0.104,0.7658
274,20210928,59484.84313,411.51,3.68,14.12,0.052,1.456,0.5822,200,3.68,32.18,0.118,0.5822
275,20210928,59484.84313,411.51,6.12,143.54,0.878,24.58,9.83,400,5.57,182.62,1.016,9.996
276,20210928,59484.84336,411.51,3.87,18.86,0.073,2.043,0.8173,150,4.05,49.01,0.199,0.7322
277,20210928,59484.84337,411.51,3.06,8.82,0.027,0.7557,0.3023,50,3.23,43.64,0.141,0.1735
278,20210928,59484.84371,411.51,7.03,13.09,0.092,2.575,1.03,200,5.08,36.39,0.185,0.9091
279,20210928,59484.84394,411.51,10.45,183.79,1.92,53.74,21.5,450,9.49,202.26,1.919,21.23
280,20210928,59484.84394,411.51,6.39,57.72,0.369,10.33,4.131,200,6.22,146.25,0.91,4.474
281,20210928,59484.84412,411.51,4.23,15.37,0.065,1.819,0.7278,200,4.02,40.14,0.161,0.7927
282,20210928,59484.84419,411.51,5.84,429.31,2.506,70.14,28.06,400,4.55,685.91,3.121,30.69
283,20210928,59484.84434,411.51,7.68,172.06,1.321,36.98,14.79,500,6.98,172.16,1.202,14.78
284,20210928,59484.84441,411.51,5.94,271.28,1.611,45.09,18.04,350,5.45,456.5,2.49,21.43
285,20210928,59484.84447,411.51,6.95,314.34,2.185,61.16,24.46,400,6.1,413,2.52,24.78
286,20210928,59484.84455,411.51,2.51,67,0.168,4.702,1.881,200,2.49,156.28,0.389,1.912
287,20210928,59484.84456,411.51,11.77,360.73,4.245,118.8,47.53,500,8.54,360.65,3.081,37.87
288,20210928,59484.84456,411.51,11.08,10.29,0.114,3.191,1.276,500,5.34,548.83,2.929,36.01
289,20210928,59484.84456,411.51,5.32,25.39,0.135,3.779,1.511,500,4.81,25.19,0.121,1.489
290,20210928,59484.84456,411.51,4.99,24.24,0.121,3.387,1.355,200,4.35,57.83,0.251,1.236
291,20210928,59484.84477,411.51,4.3,10.24,0.044,1.232,0.4926,200,2.34,25.35,0.059,0.2911
292,20210928,59484.84502,411.51,5.4,49.68,0.268,7.501,3,300,5.18,96.2,0.498,3.674
293,20210928,59484.84518,411.51,7.73,89.05,0.688,19.26,7.703,200,7.63,253.08,1.932,9.499
294,20210928,59484.84518,411.51,14.98,649.63,9.734,272.4,109,400,16.03,776,12.437,122.3
295,20210928,59484.84554,411.51,4.01,43.69,0.175,4.898,1.959,200,3.86,109.78,0.424,2.082
296,20210928,59484.84563,411.51,4.72,124.88,0.59,16.51,6.606,300,2.98,319.29,0.951,7.017
297,20210928,59484.84612,411.51,6.99,301.62,2.108,59,23.6,400,6.3,400.28,2.523,24.81
298,20210928,59484.84633,411.51,6.4,26.56,0.17,4.758,1.903,100,7.05,123.64,0.872,2.143
299,20210928,59484.84654,411.51,2.95,24.76,0.073,2.043,0.8173,200,2.67,61.15,0.163,0.8016
300,20210928,59484.84702,411.51,5.81,168.46,0.979,27.4,10.96,400,5.34,215.34,1.149,11.3
301,20210928,59484.84716,411.51,5.85,69.52,0.407,11.39,4.557,400,3.02,140.77,0.425,4.183
302,20210928,59484.84735,411.51,5.28,64.15,0.339,9.489,3.796,200,4.89,162.06,0.792,3.896
303,20210928,59484.84797,411.51,4.48,17.41,0.078,2.183,0.8733,300,4.3,29.86,0.128,0.9472
304,20210928,59484.84802,411.51,6.19,74.76,0.463,12.96,5.184,350,4.84,112.69,0.546,4.697
305,20210928,59484.84802,411.51,8.78,72.18,0.634,17.74,7.098,450,7.76,79.61,0.618,6.832
306,20210928,59484.84806,411.51,6.74,28.77,0.194,5.43,2.172,200,6.09,73.01,0.444,2.185
307,20210928,59484.84824,411.51,5.13,545.29,2.796,78.26,31.3,500,4.73,545.32,2.58,31.71
308,20210928,59484.84824,411.51,10.98,218.54,2.4,67.18,26.87,300,9.92,369.49,3.665,27.03
309,20210928,59484.84873,411.51,3.57,13.44,0.048,1.344,0.5374,250,3.3,29.25,0.097,0.5934
310,20210928,59484.84908,411.51,7.28,14.97,0.109,3.051,1.22,100,6.03,79.4,0.479,1.178
311,20210928,59484.84957,411.51,3.71,27.5,0.102,2.855,1.142,200,3.54,67.08,0.238,1.169
312,20210928,59484.84957,411.51,2.71,481.58,1.305,36.53,14.61,450,2.43,509.11,1.238,13.69
313,20210928,59484.8496,411.51,4.18,44.97,0.188,5.262,2.105,200,3.91,109.01,0.426,2.096
314,20210928,59484.84962,411.51,7.02,295.4,2.074,58.05,23.22,500,5.6,295.35,1.653,20.32
315,20210928,59484.84969,411.51,3.07,340.16,1.044,29.22,11.69,300,2.77,659.56,1.826,13.47
316,20210928,59484.85013,411.51,2.88,570.24,1.642,45.96,18.38,250,2.62,1388.76,3.643,22.39
317,20210928,59484.85043,411.51,6.34,54.12,0.343,9.601,3.84,300,5.46,123.83,0.677,4.991
318,20210928,59484.85043,411.51,5.04,19.43,0.098,2.743,1.097,250,5.6,46,0.258,1.584
319,20210928,59484.85043,411.51,16.21,97.26,1.577,44.14,17.66,300,15.06,231.56,3.488,25.73
320,20210928,59484.85061,411.51,3.04,404.14,1.229,34.4,13.76,400,2.71,487.5,1.319,12.97
321,20210928,59484.85066,411.51,13.19,37.08,0.489,13.69,5.475,300,12.35,69.29,0.856,6.31
322,20210928,59484.85066,411.51,4.14,11.6,0.048,1.344,0.5374,100,6.89,45.47,0.313,0.7703
323,20210928,59484.85084,411.51,10.11,120.62,1.219,34.12,13.65,500,9.26,120.65,1.118,13.74
324,20210928,59484.8513,411.51,7.2,249.16,1.794,50.21,20.09,250,6.58,587.75,3.87,23.79
325,20210928,59484.85153,411.51,3.17,9.47,0.03,0.8397,0.3359,100,3.21,24.37,0.078,0.1926
326,20210928,59484.85197,411.51,5.62,174.13,0.979,27.4,10.96,300,5.13,331.61,1.7,12.54
327,20210928,59484.85213,411.51,2,5,0.01,0.2799,0.112,50,2.87,77.33,0.222,0.2732
328,20210928,59484.85234,411.51,6.08,53.46,0.325,9.097,3.639,200,5.62,134.66,0.757,3.722
329,20210928,59484.85253,411.51,9.86,290.45,2.865,80.19,32.08,400,7.41,458.15,3.397,33.4
330,20210928,59484.85253,411.51,5.17,111.56,0.577,16.15,6.46,200,4.56,305.76,1.395,6.861
331,20210928,59484.85267,411.51,4.41,7.71,0.034,0.9517,0.3807,50,5.48,41.52,0.228,0.2799
332,20210928,59484.853,411.51,11.7,157.49,1.843,51.59,20.63,450,10.64,173.91,1.85,20.46
333,20210928,59484.85309,411.51,3.54,18.36,0.065,1.819,0.7278,150,3.24,62.68,0.203,0.749
334,20210928,59484.85311,411.51,7.89,398.52,3.144,88,35.2,500,7.41,398.66,2.955,36.32
335,20210928,59484.85469,411.51,9.47,480.26,4.547,127.3,50.91,350,7.53,720.57,5.427,46.7
336,20210928,59484.8547,411.51,4.62,17.73,0.082,2.295,0.9181,200,5.28,34.83,0.184,0.9046
337,20210928,59484.85471,411.51,4.22,8.76,0.037,1.036,0.4142,100,3.71,36.57,0.136,0.3336
338,20210928,59484.85513,411.51,6.28,19.43,0.122,3.415,1.366,400,6.03,24.46,0.148,1.451
339,20210928,59484.85517,411.51,7.13,210.35,1.5,41.98,16.79,350,6.41,344.22,2.207,18.99
340,20210929,59485.78409,412.55,4.14,12.79,0.053,1.483,0.5934,200,4.54,28.69,0.13,0.6404
341,20210929,59485.7843,412.55,5.67,57.7,0.327,9.153,3.661,400,5.06,76.33,0.386,3.798
342,20210929,59485.7843,412.55,8.18,27.88,0.228,6.382,2.553,150,7.75,77.32,0.599,2.21
343,20210929,59485.7843,412.55,15.91,94.41,1.502,42.04,16.82,300,12.85,205.93,2.645,19.51
344,20210929,59485.78439,412.55,3.21,25.83,0.083,2.323,0.9293,350,2.81,39.27,0.11,0.9483
345,20210929,59485.78444,412.55,3.69,18.95,0.07,1.959,0.7837,200,2.98,40.01,0.119,0.5867
346,20210929,59485.78444,412.55,11.64,167.25,1.947,54.5,21.8,350,7.71,316.59,2.442,21.02
347,20210929,59485.78444,412.55,3.46,33.22,0.115,3.219,1.288,250,3.39,75.31,0.255,1.567
348,20210929,59485.78445,412.55,6.01,40.95,0.246,6.886,2.754,150,6.26,107.32,0.672,2.479
349,20210929,59485.78454,412.55,2.52,60.25,0.152,4.254,1.702,350,2.35,86.99,0.204,1.756
350,20210929,59485.78456,412.55,4.04,22.53,0.091,2.547,1.019,300,3.62,29.47,0.107,0.786
351,20210929,59485.78477,412.55,9.31,163.98,1.526,42.71,17.08,450,6.15,240.82,1.482,16.39
352,20210929,59485.78498,412.55,1.13,15.88,0.018,0.5038,0.2015,150,2.11,27.69,0.058,0.215
353,20210929,59485.78508,412.55,9.7,63.42,0.615,17.21,6.886,200,9.12,154.51,1.409,6.928
354,20210929,59485.78515,412.55,3.51,90.6,0.318,8.901,3.56,400,3.28,110.02,0.361,3.547
355,20210929,59485.78516,412.55,2.89,913.29,2.639,73.87,29.55,500,2.62,913.06,2.395,29.44
356,20210929,59485.78516,412.55,7.7,357.69,2.754,77.08,30.83,500,7,357.44,2.504,30.78
357,20210929,59485.78527,412.55,5.99,214.9,1.287,36.02,14.41,500,5.46,214.82,1.172,14.41
358,20210929,59485.78533,412.55,5.73,31.27,0.179,5.01,2.004,200,5.1,78.28,0.399,1.962
359,20210929,59485.78541,412.55,4.83,18,0.087,2.435,0.9741,200,3.29,32.66,0.107,0.5284
360,20210929,59485.78552,412.55,5.12,17.56,0.09,2.519,1.008,200,4.6,45.33,0.209,1.026
361,20210929,59485.78553,412.55,3.27,169.33,0.554,15.51,6.203,400,2.98,219.8,0.655,6.44
362,20210929,59485.78553,412.55,3.96,12.12,0.048,1.344,0.5374,200,2.75,41.79,0.115,0.5643
363,20210929,59485.78553,412.55,5.55,50.82,0.282,7.893,3.157,300,5.14,107.6,0.553,4.078
364,20210929,59485.78567,412.55,8.14,190.17,1.548,43.33,17.33,450,7.41,202.98,1.505,16.65
365,20210929,59485.78593,412.55,6.12,426.61,2.61,73.06,29.22,300,5.86,670.45,3.932,29
366,20210929,59485.78593,412.55,10.2,38.54,0.393,11,4.4,300,6.79,83.68,0.568,4.19
367,20210929,59485.78593,412.55,4.52,31.17,0.141,3.947,1.579,200,4.02,76.1,0.306,1.505
368,20210929,59485.78595,412.55,1.64,22.53,0.037,1.036,0.4142,200,1.32,39.44,0.052,0.2553
369,20210929,59485.78595,412.55,2.86,10.82,0.031,0.8677,0.3471,300,2.85,20.16,0.057,0.4232
370,20210929,59485.78613,412.55,4.39,81.78,0.359,10.05,4.019,200,4.24,208.84,0.886,4.358
371,20210929,59485.78635,412.55,7.12,86.56,0.616,17.24,6.897,500,6.49,86.62,0.562,6.908
372,20210929,59485.78667,412.55,2.3,23.5,0.054,1.511,0.6046,450,1.84,25.2,0.046,0.5139
373,20210929,59485.78667,412.55,2.5,19.6,0.049,1.372,0.5486,200,2.72,31.11,0.085,0.4165
374,20210929,59485.78667,412.55,2.4,21.65,0.052,1.456,0.5822,250,2.91,38.54,0.112,0.6886
375,20210929,59485.78668,412.55,3.7,16.21,0.06,1.679,0.6718,150,4.79,36.88,0.177,0.6516
376,20210929,59485.78668,412.55,2.77,13.7,0.038,1.064,0.4254,200,2.32,31.04,0.072,0.3538
377,20210929,59485.78668,412.55,5.14,276.75,1.422,39.8,15.92,250,4.55,663.82,3.023,18.58
378,20210929,59485.78676,412.55,7.21,33.4,0.241,6.746,2.698,350,6.61,43.43,0.287,2.469
379,20210929,59485.78714,412.55,4.18,14.13,0.059,1.651,0.6606,100,3.17,66.04,0.209,0.515
380,20210929,59485.78737,412.55,11.1,47.49,0.527,14.75,5.9,200,9.16,123.4,1.13,5.558
381,20210929,59485.78737,412.55,2.74,14.26,0.039,1.092,0.4366,100,4.87,43.61,0.212,0.5217
382,20210929,59485.7875,412.55,3.3,22.72,0.075,2.099,0.8397,150,3.86,54.76,0.211,0.7792
383,20210929,59485.78758,412.55,2.05,26.37,0.054,1.511,0.6046,250,1.91,42.39,0.081,0.4982
384,20210929,59485.78758,412.55,3.4,288.24,0.98,27.43,10.97,500,3.05,288.06,0.878,10.79
385,20210929,59485.78759,412.55,7.26,72.55,0.527,14.75,5.9,300,6.64,145.22,0.965,7.114
386,20210929,59485.78764,412.55,8.72,114.07,0.995,27.85,11.14,350,8.11,158.41,1.285,11.06
387,20210929,59485.78764,412.55,3.03,15.19,0.046,1.288,0.515,200,2.41,41.98,0.101,0.4971
388,20210929,59485.78764,412.55,9.68,21.48,0.208,5.822,2.329,250,9.13,51.75,0.473,2.905
389,20210929,59485.78787,412.55,5.02,374.99,1.882,52.68,21.07,400,4.53,468.15,2.119,20.84
390,20210929,59485.78793,412.55,3.27,46.74,0.153,4.282,1.713,200,3.18,113.53,0.362,1.778
391,20210929,59485.78794,412.55,4.68,29.48,0.138,3.863,1.545,150,5.25,81.59,0.428,1.579
392,20210929,59485.78794,412.55,2.98,12.42,0.037,1.036,0.4142,100,2.09,57.53,0.12,0.2956
393,20210929,59485.78797,412.55,4.92,17.9,0.088,2.463,0.9853,250,3.5,41.32,0.145,0.8901
394,20210929,59485.78797,412.55,5.1,189.12,0.964,26.98,10.79,350,5.12,265.72,1.359,11.7
395,20210929,59485.78803,412.55,4.16,99.97,0.416,11.64,4.658,200,3.84,252.16,0.969,4.765
396,20210929,59485.78822,412.55,5.42,18.08,0.098,2.743,1.097,200,4.95,44.72,0.221,1.088
397,20210929,59485.78843,412.55,3.51,47.31,0.166,4.646,1.858,200,3.07,91.37,0.281,1.379
398,20210929,59485.78843,412.55,2.7,20.77,0.056,1.567,0.627,300,2.83,32.46,0.092,0.6785
399,20210929,59485.78847,412.55,5.36,88.58,0.475,13.3,5.318,500,4.91,88.36,0.434,5.329
400,20210929,59485.78854,412.55,8.15,210.76,1.718,48.09,19.24,500,7.41,210.48,1.559,19.17
401,20210929,59485.78864,412.55,4.36,133.13,0.58,16.23,6.494,300,3.95,208.21,0.822,6.059
402,20210929,59485.78864,412.55,9.61,72.39,0.696,19.48,7.792,250,9.07,124.48,1.128,6.936
403,20210929,59485.78879,412.55,4.88,29.93,0.146,4.087,1.635,350,4.42,39.96,0.177,1.52
404,20210929,59485.78893,412.55,2.37,10.96,0.026,0.7278,0.2911,200,1.89,26.05,0.049,0.2418
405,20210929,59485.78895,412.55,4.01,47.93,0.192,5.374,2.15,200,3.62,120.16,0.434,2.136
406,20210929,59485.78905,412.55,1.87,10.68,0.02,0.5598,0.2239,200,2.67,28.97,0.077,0.3807
407,20210929,59485.78905,412.55,3.77,32.1,0.121,3.387,1.355,400,3.05,36.7,0.112,1.102
408,20210929,59485.78911,412.55,2.24,409.89,0.918,25.7,10.28,400,1.99,514.27,1.026,10.08
409,20210929,59485.78929,412.55,10.52,247.06,2.6,72.78,29.11,450,10.4,265.17,2.758,30.51
410,20210929,59485.78942,412.55,4.54,71.42,0.324,9.069,3.628,300,4.31,141.62,0.61,4.501
411,20210929,59485.78952,412.55,14.24,163.15,2.324,65.05,26.02,450,12.15,179.72,2.184,24.16
412,20210929,59485.7896,412.55,5.2,34.99,0.182,5.094,2.038,250,4.28,57.66,0.247,1.517
413,20210929,59485.7896,412.55,6.61,107.32,0.709,19.84,7.938,450,5.99,119.46,0.715,7.91
414,20210929,59485.78988,412.55,6.25,262.59,1.641,45.93,18.37,450,5.73,288.63,1.653,18.29
415,20210929,59485.78991,412.55,3.28,29.26,0.096,2.687,1.075,250,2.96,60.85,0.18,1.108
416,20210929,59485.78999,412.55,3.78,29.66,0.112,3.135,1.254,200,3.42,68.09,0.233,1.146
417,20210929,59485.79,412.55,4.16,472.85,1.967,55.06,22.02,450,3.85,509.89,1.965,21.74
418,20210929,59485.79017,412.55,4.1,16.83,0.069,1.931,0.7725,250,2.55,33.92,0.087,0.5318
419,20210929,59485.79017,412.55,7.19,110.04,0.791,22.14,8.856,500,6.55,110.47,0.724,8.901
420,20210929,59485.79017,412.55,5.71,39.07,0.223,6.242,2.497,200,5.73,95,0.545,2.678
421,20210929,59485.79019,412.55,5.15,51.68,0.266,7.445,2.978,400,4.67,67.32,0.314,3.09
422,20210929,59485.7902,412.55,10.7,139.35,1.491,41.73,16.69,500,9.79,139.43,1.365,16.78
423,20210929,59485.7902,412.55,3.57,14.3,0.051,1.428,0.571,150,3.49,26.38,0.092,0.3392
424,20210929,59485.7902,412.55,4.93,162.19,0.8,22.39,8.957,350,4.62,258.75,1.195,10.28
425,20210929,59485.79038,412.55,4.79,26.11,0.125,3.499,1.4,150,4.63,75.47,0.35,1.29
426,20210929,59485.79038,412.55,12.43,181.85,2.26,63.26,25.3,400,8.54,294.06,2.511,24.7
427,20210929,59485.79038,412.55,3.8,67.18,0.255,7.138,2.855,200,3.52,174.63,0.614,3.018
428,20210929,59485.79039,412.55,8.31,70.63,0.587,16.43,6.572,250,7.77,161.19,1.252,7.697
429,20210929,59485.79041,412.55,4.07,121.62,0.495,13.86,5.542,300,3.56,248.16,0.883,6.516
430,20210929,59485.79069,412.55,3.66,43.96,0.161,4.506,1.802,300,3.95,64.86,0.256,1.888
431,20210929,59485.79077,412.55,8.3,67.37,0.559,15.65,6.259,500,7.58,67.4,0.511,6.281
432,20210929,59485.79128,412.55,3.26,28.79,0.094,2.631,1.052,300,2.57,55.9,0.144,1.061
433,20210929,59485.79129,412.55,6.08,37.64,0.229,6.41,2.564,250,5.59,85.12,0.475,2.922
434,20210929,59485.79144,412.55,2.36,39.77,0.094,2.631,1.052,200,2.01,72.85,0.147,0.721
435,20210929,59485.79144,412.55,6.31,67.98,0.429,12.01,4.803,250,6.01,153.72,0.924,5.681
436,20210929,59485.79147,412.55,9.97,175.6,1.75,48.98,19.59,400,8.56,225.89,1.934,19.02
437,20210929,59485.79152,412.55,5.05,148.98,0.752,21.05,8.42,500,4.61,149.18,0.688,8.453
438,20210929,59485.79152,412.55,4.13,137.32,0.567,15.87,6.348,500,3.75,137.31,0.516,6.337
439,20210929,59485.79173,412.55,7.06,29.32,0.207,5.794,2.318,150,5.63,86.39,0.486,1.792
440,20210929,59485.79174,412.55,6.81,149.5,1.018,28.49,11.4,500,6.18,149.69,0.925,11.38
441,20210929,59485.79174,412.55,6.63,311.81,2.068,57.88,23.15,500,5.88,312.03,1.836,22.57
442,20210929,59485.7918,412.55,14.85,150.12,2.229,62.39,24.96,300,13.93,241.27,3.36,24.78
443,20210929,59485.79214,412.55,4.24,16.97,0.072,2.015,0.8061,200,2.01,41.65,0.084,0.412
444,20210929,59485.79214,412.55,5.12,14.26,0.073,2.043,0.8173,250,3.95,21,0.083,0.5094
445,20210929,59485.7924,412.55,2.84,237.54,0.675,18.89,7.557,450,2.53,254.76,0.645,7.134
446,20210929,59485.7924,412.55,3.17,16.08,0.051,1.428,0.571,200,3.49,33.66,0.117,0.5777
447,20210929,59485.79254,412.55,4.54,261.18,1.187,33.22,13.29,400,4.08,310.57,1.269,12.48
448,20210929,59485.79259,412.55,3.53,18.99,0.067,1.875,0.7501,200,3.92,44.1,0.173,0.8509
449,20210929,59485.79259,412.55,3.56,37.33,0.133,3.723,1.489,200,3.39,93.96,0.319,1.567
450,20210929,59485.79305,412.55,5.46,415.08,2.266,63.43,25.37,400,4.89,523.57,2.56,25.17
451,20210929,59485.79312,412.55,5.21,202.42,1.055,29.53,11.81,250,4.67,480.82,2.245,13.8
452,20210929,59485.79313,412.55,8.62,14.5,0.125,3.499,1.4,200,7.66,38.01,0.291,1.431
453,20210929,59485.79321,412.55,3.81,19.95,0.076,2.127,0.8509,200,3.17,50.62,0.16,0.7882
454,20210929,59485.79323,412.55,8.9,20.22,0.18,5.038,2.015,150,7.4,50.81,0.376,1.387
455,20210929,59485.79326,412.55,3.86,16.32,0.063,1.763,0.7054,350,3.8,14.88,0.056,0.4859
456,20210929,59485.79326,412.55,5.48,210.74,1.155,32.33,12.93,500,5.02,210.84,1.058,13.01
457,20210929,59485.79326,412.55,4.21,41.36,0.174,4.87,1.948,200,4.33,99.7,0.432,2.123
458,20210929,59485.79331,412.55,8.15,261.9,2.134,59.73,23.89,500,7.41,261.97,1.94,23.85
459,20210929,59485.79332,412.55,3.45,150.05,0.518,14.5,5.8,500,3.21,150,0.481,5.912
460,20210929,59485.79334,412.55,4.86,45.29,0.22,6.158,2.463,250,4.91,112.47,0.552,3.392
461,20210929,59485.79334,412.55,6.02,104.3,0.628,17.58,7.031,250,5.76,243.28,1.401,8.61
462,20210929,59485.79349,412.55,2.33,8.6,0.02,0.5598,0.2239,200,2.34,12.44,0.029,0.1433
463,20210929,59485.79352,412.55,1.93,101.8,0.196,5.486,2.194,450,1.75,109.5,0.191,2.116
464,20210929,59485.79401,412.55,4.97,12.48,0.062,1.735,0.6942,100,5.24,46.72,0.245,0.6024
