BurstID,ObsDate,MJD,DM,Width,PeakFlux,Fluence,Energy_c,Energy_w,BandWidth,Width,PeakFlux,Fluence,Energy_w
 , ,Barycentric, ,FullBand,FullBand,FullBand,FullBand,FullBand, ,LimitedBand,LimitedBand,LimitedBand,LimitedBand
 , , ,(pc/cm^3),(ms),(mJy),(Jy ms),(1e37erg),(1e37erg),(MHz),(ms),(mJy),(Jy ms),(1e37erg)
55,20210927,59483.87178,412.18,5.18,11.39,0.059,1.651,0.6606,200,4.18,27.69,0.116,0.5688
56,20210927,59483.87224,412.18,5.57,120.14,0.669,18.72,7.49,350,5.16,180.32,0.93,8.002
57,20210927,59483.87254,412.18,4.14,11.58,0.048,1.344,0.5374,100,4.64,47.73,0.221,0.5441
58,20210927,59483.87293,412.18,4.13,36.57,0.151,4.226,1.691,300,3.74,71.89,0.269,1.982
59,20210927,59483.87411,412.18,4.18,9.8,0.041,1.148,0.459,150,2.8,26.66,0.075,0.2754
60,20210927,59483.87411,412.18,4.91,21.39,0.105,2.939,1.176,100,4.17,87.31,0.364,0.8957
61,20210927,59483.87435,412.18,5.42,10.52,0.057,1.595,0.6382,250,4.03,14.93,0.06,0.3695
62,20210927,59483.87435,412.18,3.34,20.06,0.067,1.875,0.7501,250,3.49,37.1,0.129,0.7949
63,20210927,59483.87506,412.18,4.91,64.17,0.315,8.817,3.527,200,4.54,151.23,0.686,3.372
64,20210927,59483.87506,412.18,3.66,9.83,0.036,1.008,0.4031,100,4.07,40.94,0.167,0.4098
65,20210927,59483.8754,412.18,3.16,67.82,0.214,5.99,2.396,200,3.03,153.88,0.466,2.293
66,20210927,59483.8763,412.18,4.84,71.42,0.346,9.685,3.874,200,4.3,168.89,0.726,3.569
67,20210927,59483.8763,412.18,3.75,6.94,0.026,0.7278,0.2911,50,5.33,34.7,0.185,0.2273
68,20210927,59483.87828,412.18,23.1,153.41,3.544,99.2,39.68,450,21.11,170.38,3.596,39.78
69,20210927,59483.8786,412.18,3.77,282.69,1.065,29.81,11.92,350,2.42,520.17,1.258,10.83
70,20210927,59483.87868,412.18,9.11,75.18,0.685,19.17,7.669,200,8.39,181.13,1.519,7.47
71,20210927,59483.87907,412.18,7.23,14.39,0.104,2.911,1.164,150,2.59,48.35,0.125,0.4613
